"","popid","x","y","habitat.suit"
"1",1,-88.300557205,48.98215918,0
"2",2,-88.201557205,48.98215918,0
"3",3,-88.152057205,48.98215918,0
"4",4,-88.003557205,48.98215918,0
"5",5,-87.954057205,48.98215918,0
"6",6,-88.300557205,48.93265918,0
"7",7,-88.251057205,48.93265918,0
"8",8,-88.053057205,48.93265918,0
"9",9,-87.904557205,48.93265918,0
"10",10,-87.855057205,48.93265918,0
"11",11,-87.805557205,48.93265918,0
"12",12,-87.756057205,48.93265918,0
"13",13,-87.706557205,48.93265918,0
"14",14,-88.449057205,48.88315918,0
"15",15,-88.399557205,48.88315918,0
"16",16,-88.251057205,48.88315918,0
"17",17,-88.102557205,48.88315918,0
"18",18,-87.657057205,48.88315918,0
"19",19,-87.607557205,48.88315918,0
"20",20,-87.558057205,48.88315918,0
"21",21,-87.508557205,48.88315918,0
"22",22,-88.498557205,48.83365918,0
"23",23,-88.399557205,48.83365918,0
"24",24,-88.350057205,48.83365918,0
"25",25,-88.300557205,48.83365918,0
"26",26,-88.251057205,48.83365918,0
"27",27,-88.003557205,48.83365918,0
"28",28,-87.805557205,48.83365918,0
"29",29,-87.706557205,48.83365918,0
"30",30,-87.508557205,48.83365918,0
"31",31,-87.409557205,48.83365918,0
"32",32,-87.360057205,48.83365918,0
"33",33,-86.964057205,48.83365918,0
"34",34,-86.716557205,48.83365918,0
"35",35,-86.667057205,48.83365918,0
"36",36,-88.548057205,48.78415918,0
"37",37,-88.300557205,48.78415918,0
"38",38,-88.152057205,48.78415918,0
"39",39,-88.102557205,48.78415918,0
"40",40,-88.053057205,48.78415918,0
"41",41,-87.657057205,48.78415918,0
"42",42,-87.558057205,48.78415918,0
"43",43,-87.508557205,48.78415918,0
"44",44,-87.459057205,48.78415918,0
"45",45,-87.261057205,48.78415918,0
"46",46,-87.211557205,48.78415918,0
"47",47,-87.162057205,48.78415918,0
"48",48,-87.112557205,48.78415918,0
"49",49,-87.063057205,48.78415918,0
"50",50,-87.013557205,48.78415918,0
"51",51,-86.964057205,48.78415918,0
"52",52,-86.914557205,48.78415918,0
"53",53,-86.865057205,48.78415918,0
"54",54,-86.815557205,48.78415918,0
"55",55,-86.766057205,48.78415918,0
"56",56,-86.617557205,48.78415918,0
"57",57,-86.568057205,48.78415918,0
"58",58,-86.518557205,48.78415918,0
"59",59,-86.469057205,48.78415918,0
"60",60,-86.419557205,48.78415918,0
"61",61,-88.300557205,48.73465918,0
"62",62,-88.053057205,48.73465918,0
"63",63,-88.003557205,48.73465918,0
"64",64,-86.617557205,48.73465918,0
"65",65,-86.568057205,48.73465918,0
"66",66,-86.370057205,48.73465918,0
"67",67,-88.300557205,48.68515918,0
"68",68,-88.152057205,48.68515918,0
"69",69,-86.370057205,48.68515918,0
"70",70,-88.647057205,48.63565918,0
"71",71,-88.597557205,48.63565918,0
"72",72,-88.548057205,48.63565918,0
"73",73,-88.350057205,48.63565918,0
"74",74,-88.300557205,48.63565918,0
"75",75,-88.251057205,48.63565918,0
"76",76,-88.152057205,48.63565918,0
"77",77,-88.102557205,48.63565918,0
"78",78,-86.271057205,48.63565918,0
"79",79,-88.647057205,48.58615918,0
"80",80,-88.449057205,48.58615918,0
"81",81,-88.399557205,48.58615918,0
"82",82,-88.350057205,48.58615918,0
"83",83,-86.271057205,48.58615918,0
"84",84,-88.993557205,48.53665918,0
"85",85,-88.944057205,48.53665918,0
"86",86,-88.894557205,48.53665918,0
"87",87,-88.696557205,48.53665918,0
"88",88,-88.647057205,48.53665918,0
"89",89,-88.498557205,48.53665918,0
"90",90,-88.449057205,48.53665918,0
"91",91,-88.399557205,48.53665918,0
"92",92,-86.221557205,48.53665918,0
"93",93,-89.191557205,48.48715918,0
"94",94,-89.142057205,48.48715918,0
"95",95,-89.092557205,48.48715918,0
"96",96,-88.795557205,48.48715918,0
"97",97,-88.696557205,48.48715918,0
"98",98,-88.548057205,48.48715918,0
"99",99,-86.221557205,48.48715918,0
"100",100,-89.241057205,48.43765918,0
"101",101,-89.191557205,48.43765918,0
"102",102,-88.746057205,48.43765918,0
"103",103,-88.696557205,48.43765918,0
"104",104,-88.548057205,48.43765918,0
"105",105,-86.221557205,48.43765918,0
"106",106,-89.241057205,48.38815918,0
"107",107,-88.845057205,48.38815918,0
"108",108,-88.746057205,48.38815918,0
"109",109,-88.647057205,48.38815918,0
"110",110,-86.172057205,48.38815918,0
"111",111,-89.241057205,48.33865918,0
"112",112,-88.894557205,48.33865918,0
"113",113,-88.845057205,48.33865918,0
"114",114,-88.795557205,48.33865918,0
"115",115,-86.172057205,48.33865918,0
"116",116,-86.122557205,48.28915918,0
"117",117,-89.290557205,48.23965918,0
"118",118,-86.122557205,48.23965918,0
"119",119,-89.290557205,48.19015918,0
"120",120,-86.073057205,48.19015918,0
"121",121,-89.389557205,48.14065918,0
"122",122,-89.340057205,48.14065918,0
"123",123,-86.023557205,48.14065918,0
"124",124,-89.488557205,48.09115918,0
"125",125,-89.439057205,48.09115918,0
"126",126,-89.389557205,48.09115918,0
