"","popid","x","y","habitat.suit"
"1",1,-88.300557205,48.98215918,0.204723000526428
"2",2,-88.201557205,48.98215918,0.204723000526428
"3",3,-88.152057205,48.98215918,0.204723000526428
"4",4,-88.003557205,48.98215918,0.204723000526428
"5",5,-87.954057205,48.98215918,0.33619698882103
"6",6,-88.300557205,48.93265918,0.204723000526428
"7",7,-88.251057205,48.93265918,0.204723000526428
"8",8,-88.053057205,48.93265918,0.204723000526428
"9",9,-87.904557205,48.93265918,0.33619698882103
"10",10,-87.855057205,48.93265918,0.33619698882103
"11",11,-87.805557205,48.93265918,0.33619698882103
"12",12,-87.756057205,48.93265918,0.33619698882103
"13",13,-87.706557205,48.93265918,0.33619698882103
"14",14,-88.449057205,48.88315918,0.204723000526428
"15",15,-88.399557205,48.88315918,0.204723000526428
"16",16,-88.251057205,48.88315918,0.204723000526428
"17",17,-88.102557205,48.88315918,0.204723000526428
"18",18,-87.657057205,48.88315918,0.33619698882103
"19",19,-87.607557205,48.88315918,0.33619698882103
"20",20,-87.558057205,48.88315918,0.33619698882103
"21",21,-87.508557205,48.88315918,0.33619698882103
"22",22,-88.498557205,48.83365918,0.204723000526428
"23",23,-88.399557205,48.83365918,0.204723000526428
"24",24,-88.350057205,48.83365918,0.204723000526428
"25",25,-88.300557205,48.83365918,0.204723000526428
"26",26,-88.251057205,48.83365918,0.204723000526428
"27",27,-88.003557205,48.83365918,0.204723000526428
"28",28,-87.805557205,48.83365918,0.33619698882103
"29",29,-87.706557205,48.83365918,0.33619698882103
"30",30,-87.508557205,48.83365918,0.33619698882103
"31",31,-87.409557205,48.83365918,0.281940996646881
"32",32,-87.360057205,48.83365918,0.281940996646881
"33",33,-86.964057205,48.83365918,0.377095997333527
"34",34,-86.716557205,48.83365918,0.377095997333527
"35",35,-86.667057205,48.83365918,0.377095997333527
"36",36,-88.548057205,48.78415918,0
"37",37,-88.300557205,48.78415918,0.204723000526428
"38",38,-88.152057205,48.78415918,0.204723000526428
"39",39,-88.102557205,48.78415918,0.204723000526428
"40",40,-88.053057205,48.78415918,0.204723000526428
"41",41,-87.657057205,48.78415918,0.33619698882103
"42",42,-87.558057205,48.78415918,0.33619698882103
"43",43,-87.508557205,48.78415918,0.33619698882103
"44",44,-87.459057205,48.78415918,0.281940996646881
"45",45,-87.261057205,48.78415918,0.281940996646881
"46",46,-87.211557205,48.78415918,0.281940996646881
"47",47,-87.162057205,48.78415918,0.281940996646881
"48",48,-87.112557205,48.78415918,0.281940996646881
"49",49,-87.063057205,48.78415918,0.281940996646881
"50",50,-87.013557205,48.78415918,0.281940996646881
"51",51,-86.964057205,48.78415918,0.377095997333527
"52",52,-86.914557205,48.78415918,0.377095997333527
